Date,Open,High,Low,Close,Volume
20150219,0.33,0.33,225,244,46.27631267
20150220,240.25011809,245,240.25,240.25,55.894897
20150221,245,245,245,245,14.72223865
20150222,245,249,235,235,129.12124785
20150223,235.00000236,235.001,235,235,96.56756248
20150224,235,239.75,235,239.75,149.15439319
20150225,239.75,239.75,237.75,237.75,221.58409525
20150226,237.75,239.79999999,237.75,238.5,0.15548793
20150227,238.49999999,249,238.49999999,249,383.75542307
20150228,240,251,240,240.00006025,17.14733576
20150301,240.0001205,251,240.0001205,251,0.31771523
20150302,252,269,251,269,98.06380478
20150303,268,274.5,255,267.21999999,442.98306981
20150304,258.87499998,280.00000001,258.87499998,280,245.88902268
20150305,257,280.89,257,257.00012,117.44068512
20150306,269.00014063,271.00199999,260,260,84.1979488
20150307,260.00000522,260.00000522,260.00000522,260.00000522,0.1819948
20150308,265,275.002,260.000031,260.00003101,30.90034888
20150309,260.00003101,285,260.00003101,264.00000533,128.36703757
20150310,264.00006385,291,264.00006385,291,54.9617595
20150311,279.00010602,292.95011129,276.00000001,276.00000001,42.51193654
20150312,289.00010602,289.00010602,276,276.00000112,2.90989245
20150313,276.00000111,300.99999959,275.11000009,275.11000009,57.61315621
20150314,275.1100001,275.1100001,275.1,275.10000036,48.31005732
20150315,275.10000036,282.10800036,275.1,282.10800036,29.45410779
20150316,300.9999995,300.9999995,275,275,25.56468549
20150317,275.00000003,275.00000003,275.00000003,275.00000003,0.00903375
20150318,275.00000009,282.00000001,262.09000001,262.09000001,164.91127158
20150319,267.01000006,267.01000006,248.82158047,264.84631516,713.90420443
20150320,254.89895127,267.97667574,254.82343263,263.56083094,132.72576304
20150321,263.56083094,263.56083094,254.69135706,263.19298262,201.15512365
20150322,265.13784797,267.51684843,263.77341,267.51684843,64.37844695
20150323,270.32946018,274.29809789,260.67351138,260.67351138,61.85038999
20150324,263.01895538,271.59604827,242.5255,242.52550736,490.1802634
20150325,272.99999999,273,247.47551488,247.47551488,90.86237357
20150326,251.36855193,251.36855193,242.5255,242.5255,2.29937799
20150327,253.22011045,253.3527,242.91750001,253.3527,0.66353649
20150328,243.68190247,258.88067929,243.6819,248.72849578,7.06152934
20150329,252.0705,252.0705,247.96933001,247.96933001,8.52654866
20150330,242.52550001,254.35279355,242.52550001,254.35279355,29.65461869
20150331,253.5414,253.7301,242.5255,249.33852966,28.4810826
20150401,239.87000019,250,239.87000019,249,14.48312746
20150402,245.47586455,255,229.00000001,255,62.12227939
20150403,253.5,255,253.5,255,27.37145069
20150404,252.58700541,254.42717667,248.9973997,254.42717667,184.24982176
20150405,252.07634469,262.66977114,252.07634469,254.69622183,125.3818785
20150406,254.69622183,254.69622183,254.69622183,254.69622183,0
20150407,253.88325,257.80755,252.10286502,253.116,366.91079197
20150408,251.4816875,268,245.691,248.28703147,396.66497159
20150409,245.55949496,269,240.88000001,269,910.71756702
20150410,243.55500001,249.89999998,99.00000007,236.195,447.02395048
20150411,233.1575,249.89999997,230.10000001,234.8725,2872.85547934
20150412,234.8725,235.735,230.10000001,232.05,1952.86838181
20150413,232.05,245.99999999,230.10000001,245.99999987,91.93343856
20150414,234.000076,234.000076,213.7184,219.90926541,373.40081642
20150415,219.90926541,225.1395,217.69520791,225.1293,100.65758018
20150416,226.26174864,229.57789808,221.29080708,229.57789808,266.68959913
20150417,224.7876,226.62358212,222.9346875,223.48807719,45.82083968
20150418,221.65615001,221.65615001,221.5,221.5,44.30036632
20150419,225.5,225.5,223.57789808,223.57789808,21.87361402
20150420,223.57789808,229.5051,223.57789808,223.57789808,13.07389511
20150421,223.57789808,233,223.57789808,229.7512,31.42439658
20150422,238.374,238.374,230.5666,230.5666,36.92635588
20150423,230.5666,238.374,229.6777,231.55429753,70.24516087
20150424,231.6475,235.49749476,223.57789808,235.0896,1.94459737
20150425,223.57789808,233.0649,223.57789808,223.57789808,1.4623462
20150426,223.57789808,223.57789808,206.56436228,212.1681,555.12722339
20150427,219.00999999,219.01,214.2427,219.01,390.55060327
20150428,227,227,227,227,0.05964652
20150429,227,227,227,227,4.99999961
20150430,227,255,227,241.997374,389.75127612
20150501,241.997374,243.432375,233.1665,233.1665,26.83685811
20150502,235,235,235,235,3.538395
20150503,235,239.4042,235,239.4042,92.86170078
20150504,235.52829126,239.4042,233.99829863,233.99829863,48.37681151
20150505,233.1763,233.1763,229.6875,231.0154,1.16104856
20150506,229.7414,240,225,225,0.26766011
20150507,226,226,225,225,0.06254532
20150508,240,249.53240001,240,249.53240001,29.08440758
20150509,239.806,249.53240001,238.5565,238.5565,115.36779752
20150510,246.25,246.25,246.25,246.25,0.464723
20150511,225,246.25,225,241.1937,133.68748296
20150512,239.07113593,244.90444044,239.07113593,244.90444044,5.19530753
20150513,239.39988755,239.39988755,239.39988755,239.39988755,0.10212799
20150514,240.77139588,249.53240001,236.01,243.26620001,318.9187259
20150515,243.26620001,254,237.005,243.31250001,34.76105879
20150516,244,252.99999999,243.31250001,243.5,115.80995806
20150517,243.5,249.99999999,243.31250001,243.31250001,44.42495523
20150518,240.5,245.5,235.00000001,242.42424242,31.34106169
20150519,242.00000017,260,230.5,243.99999999,20339.31806626
20150520,240.00000001,243.99999999,232.00000002,232.52023435,21723.68279538
20150521,233.14749997,233.14749997,230.83999767,232.52549999,9008.53353363
20150522,232.52549999,237.40539423,232.52549999,236.50775007,69.01840017
20150523,239.99999999,242,235.6075675,241.78343249,26.57979491
20150524,241.95,243,235.65603177,243,32.50679829
